instance,best,time best,mean,time_avg
binary_10_300,108,75,113.9,88.7
binary_10_500,184,140,189.35,141.55
binary_10_700,262,256,264.35,215.9
binary_10_900,333,188,339.9,289.8
binary_10_1000,372,197,377.5,230.55
binary_20_300,123,613,125.4,1135.1
binary_20_500,205,585,207.7,1146.0
binary_20_700,286,233,289.25,1188.95
binary_20_900,368,329,372.45,1940.1
binary_20_1000,408,410,412.4,1196.7
binary_30_300,129,1103,131.05,2259.55
binary_30_500,214,506,216.1,2298.75
binary_30_700,300,2636,302.05,2742.5
binary_30_900,385,3081,387.05,2797.25
binary_30_1000,427,2719,429.6,2902.55
DNA_10_300,171,137,174.7,166.05
DNA_10_500,288,318,291.5,246.2
DNA_10_700,403,321,407.5,338.75
DNA_10_900,518,425,522.7,455.95
DNA_10_1000,577,433,580.85,503.5
DNA_20_300,190,805,191.15,860.85
DNA_20_500,314,2045,316.75,2215.8
DNA_20_700,440,1287,442.7,2468.0
DNA_20_900,566,1813,569.05,3170.95
DNA_20_1000,629,4336,632.0,3160.2
DNA_30_300,197,4406,198.85,3215.8
DNA_30_500,327,4933,328.7,4179.65
DNA_30_700,458,4800,460.4,5561.2
DNA_30_900,588,5739,590.6,5785.35
DNA_30_1000,653,6219,655.65,6351.9
protein_10_300,234,143,236.0,140.3
protein_10_500,391,207,392.95,208.5
protein_10_700,547,270,550.95,274.05
protein_10_900,705,351,707.15,346.45
protein_10_1000,782,386,785.9,388.0
protein_20_300,253,207,254.8,203.65
protein_20_500,422,318,423.6,330.6
protein_20_700,590,456,592.05,462.2
protein_20_900,758,616,761.0,599.5
protein_20_1000,844,693,845.5,669.9
protein_30_300,263,502,263.45,377.25
protein_30_500,436,832,436.7,795.7
protein_30_700,609,1307,610.1,1051.35
protein_30_900,783,999,783.75,1161.55
protein_30_1000,869,1124,870.05,1391.05
McClure-582-20-6-141,88,62,88.6,58.7
McClure-582-20-10-141,97,95,98.05,79.2
McClure-582-20-12-141,98,84,98.2,93.2
McClure-586-20-6-100,72,48,72.0,51.3
McClure-586-20-10-98,76,74,76.3,67.85
McClure-586-20-12-98,78,75,78.15,68.15